127.0.0.1 - - [11/Dec/2020:11:23:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Dec/2020:11:23:37 +0900] "GET /upload/index.jsp HTTP/1.1" 200 13678
0:0:0:0:0:0:0:1 - - [11/Dec/2020:11:23:37 +0900] "GET /demos/stylesheet.css HTTP/1.1" 404 831
0:0:0:0:0:0:0:1 - - [11/Dec/2020:11:23:37 +0900] "GET /demos/menu.js HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [11/Dec/2020:11:23:37 +0900] "GET /dist/RTCMultiConnection.min.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [11/Dec/2020:11:23:37 +0900] "GET /node_modules/webrtc-adapter/out/adapter.js HTTP/1.1" 404 861
0:0:0:0:0:0:0:1 - - [11/Dec/2020:11:23:37 +0900] "GET /dev/getHTMLMediaElement.css HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [11/Dec/2020:11:23:37 +0900] "GET /socket.io/socket.io.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [11/Dec/2020:11:23:37 +0900] "GET /dev/getHTMLMediaElement.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [11/Dec/2020:11:23:37 +0900] "GET /node_modules/recordrtc/RecordRTC.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [11/Dec/2020:11:23:37 +0900] "GET /dev/getHTMLMediaElement.js HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [11/Dec/2020:11:23:37 +0900] "GET /node_modules/recordrtc/RecordRTC.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [11/Dec/2020:11:23:37 +0900] "GET /demos/logo.png HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [11/Dec/2020:16:35:07 +0900] "GET /upload/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2020:16:35:08 +0900] "GET /upload/form;jsessionid=27941A7BD89C2B7ED262A32CE512CCC8 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [11/Dec/2020:16:35:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
